protocol_name,src,sport,dst,dport,proto,push_flag_ratio,average_len,average_payload_len,pkt_count,flow_average_inter_arrival_time,kolmogorov,shannon
unknown,192.168.137.113,54496,218.206.90.147,443,6,0.778,731,691,9,0.0011,0.868,7.7121
unknown,192.168.137.113,40578,111.13.105.155,443,6,0.867,417,377,15,0.0353,0.8036,7.4948
unknown,192.168.137.113,38108,223.99.245.179,443,6,0.778,606,566,9,0.0018,0.8435,7.6106
unknown,192.168.137.113,41901,120.221.8.142,443,6,0.778,644,604,9,0.0032,0.8351,7.578
unknown,192.168.137.113,58296,221.179.183.218,443,6,1.000,205,153,7,0.0011,0.8386,7.3926
unknown,192.168.137.113,45118,221.179.183.218,443,6,1.000,229,177,5,0.0005,0.9775,7.3901
unknown,192.168.137.113,54517,223.99.245.179,443,6,0.727,680,640,11,0.0023,0.65,7.5279
unknown,192.168.137.113,41043,221.179.183.213,443,6,1.000,229,177,5,0.0005,0.9741,7.3501
unknown,192.168.137.113,47884,60.217.248.85,443,6,0.727,580,540,11,0.052,0.8624,7.6791
unknown,192.168.137.113,56432,223.99.245.179,443,6,0.727,761,721,11,0.003,0.7667,7.7553
unknown,192.168.137.113,40403,218.206.90.28,443,6,1.000,530,478,5,0.0008,0.954,7.6608
unknown,192.168.137.113,54645,223.99.245.179,443,6,0.727,768,728,11,0.0014,0.8911,7.7784
unknown,192.168.137.113,33892,218.206.90.28,443,6,1.000,527,475,5,0.0009,0.9533,7.6608
unknown,192.168.137.113,43877,120.221.12.30,443,6,0.231,1179,1139,91,0.0487,0.9929,7.9964
unknown,192.168.137.113,44254,111.13.57.46,443,6,0.857,394,354,14,0.0028,0.823,7.5431
unknown,192.168.137.113,42532,218.206.90.28,443,6,1.000,528,476,5,0.002,0.9547,7.6584
unknown,192.168.137.113,43650,218.206.90.28,443,6,0.667,827,775,9,0.0017,0.8314,7.7024
unknown,192.168.137.113,43260,223.99.245.181,443,6,1.000,380,340,7,0.0027,0.7373,7.2746
unknown,192.168.137.113,34163,218.206.90.28,443,6,1.000,526,474,5,0.0006,0.9524,7.6574
unknown,192.168.137.113,41973,218.206.90.28,443,6,1.000,529,477,5,0.003,0.9547,7.6696
unknown,192.168.137.113,49776,120.221.8.142,443,6,1.000,71,31,6,0.477,0.2097,3.8732
unknown,192.168.137.113,51805,221.179.183.218,443,6,1.000,229,177,5,0.0006,0.9764,7.3828
unknown,192.168.137.113,49422,223.99.245.172,443,6,0.818,620,580,11,0.0036,0.8719,7.7297
unknown,192.168.137.113,46823,223.99.245.161,443,6,0.632,939,899,19,0.0189,0.874,7.9298
unknown,192.168.137.113,35477,120.221.8.142,443,6,0.778,684,644,9,0.0041,0.8635,7.6768
unknown,192.168.137.113,56259,223.99.245.179,443,6,0.800,562,522,10,0.0024,0.8224,7.6034
unknown,192.168.137.113,60775,223.99.245.161,443,6,0.600,863,823,15,0.0085,0.9377,7.9112
unknown,192.168.137.113,60030,36.110.224.70,443,6,0.700,719,679,10,0.0032,0.8813,7.7555
unknown,192.168.137.113,44494,60.217.248.28,443,6,0.538,828,788,26,0.028,0.9013,7.9573
unknown,192.168.137.113,45581,221.179.183.218,443,6,1.000,205,153,6,0.004,0.9728,7.4035
unknown,192.168.137.113,44299,221.179.183.213,443,6,1.000,229,177,5,0.0015,0.973,7.3865
unknown,192.168.137.113,51098,120.221.12.30,443,6,0.316,1048,1008,19,0.0025,0.9621,7.9556
unknown,192.168.137.113,38775,111.13.105.171,443,6,1.000,263,223,8,0.0036,0.8781,7.1629
unknown,192.168.137.113,45481,221.179.183.213,443,6,1.000,205,153,6,0.0009,0.9706,7.3606
unknown,192.168.137.113,40036,218.206.90.28,443,6,1.000,537,485,5,0.0005,0.9555,7.672
unknown,192.168.137.113,58766,111.13.57.45,443,6,0.329,1022,982,73,0.0314,0.9856,7.9917
unknown,192.168.137.113,42829,223.99.245.161,443,6,0.778,658,618,9,0.0046,0.8582,7.6735
unknown,192.168.137.113,59378,120.221.12.30,443,6,0.316,1196,1156,76,0.0144,0.9806,7.9956
