id,protocol_name,src,sport,dst,dport,proto,push_flag_ratio,average_len,average_payload_len,pkt_count,flow_average_inter_arrival_time,kolmogorov,shannon
274,https,192.168.137.113,52086,180.76.22.32,443,6,0.175,1230,1190,758,0.3189,0.9987,7.9993
275,https,192.168.137.113,34574,183.232.231.65,443,6,0.857,470,430,14,0.0081,0.818,7.5473
276,https,192.168.137.113,60648,61.135.169.121,443,6,0.742,725,685,31,0.2745,0.9483,7.9408
277,https,192.168.137.113,54703,61.135.169.125,443,6,0.760,511,471,25,0.0887,0.9084,7.843
278,https,192.168.137.113,33269,119.75.222.189,443,6,1.000,71,31,1,0.0,1.0,3.9865
279,https,192.168.137.113,34635,111.13.101.191,443,6,0.889,383,343,9,0.0548,0.9385,7.6122
280,https,192.168.137.113,36107,119.75.222.189,443,6,0.950,767,727,20,0.9695,0.2565,7.8343
281,https,192.168.137.113,49325,222.35.78.49,443,6,0.778,564,524,9,0.0114,0.7662,7.3345
282,https,192.168.137.113,35483,222.35.78.32,443,6,0.135,1233,1193,104,0.0903,0.9921,7.997
283,https,192.168.137.113,33648,112.54.108.104,443,6,0.562,778,738,16,0.0558,0.9414,7.9236
284,https,192.168.137.113,60576,111.13.101.221,443,6,0.900,331,291,10,0.0015,0.9945,7.8464
285,https,192.168.137.113,34742,111.13.101.191,443,6,1.000,164,124,6,0.9969,0.6823,5.5419
286,https,192.168.137.113,34594,111.13.101.191,443,6,1.000,164,124,6,0.023,0.681,5.528
287,https,192.168.137.113,50837,112.34.111.114,443,6,1.000,164,124,6,0.0214,0.6984,5.6043
288,https,192.168.137.113,54736,61.135.169.125,443,6,0.833,457,417,12,0.0454,0.9697,7.8271
289,https,192.168.137.113,40241,111.13.105.171,443,6,0.867,426,386,15,0.1421,0.808,7.5115
290,https,192.168.137.113,53797,111.6.172.48,443,6,0.016,1367,1327,546,0.9252,0.9988,7.9996
291,https,192.168.137.113,52405,111.13.101.221,443,6,0.900,312,272,10,0.0026,0.9934,7.8188
292,https,192.168.137.113,38840,111.13.101.221,443,6,0.882,652,612,17,0.0269,0.8978,7.8197
293,https,192.168.137.113,48676,180.76.22.33,443,6,0.277,1103,1063,112,0.0373,0.9906,7.9954
294,https,192.168.137.113,55081,111.13.101.221,443,6,1.000,300,260,10,0.0012,0.9919,7.7981
295,https,192.168.137.113,34737,111.13.101.191,443,6,1.000,164,124,6,0.0896,0.6823,5.5482
296,https,192.168.137.113,45598,222.35.78.32,443,6,0.750,615,575,8,0.0092,0.765,7.3491
297,https,192.168.137.113,48077,121.42.179.14,443,6,0.750,724,672,8,0.0024,0.8783,7.7527
298,https,192.168.137.113,52126,222.35.78.49,443,6,0.750,615,575,8,0.0147,0.7646,7.3446
299,https,192.168.137.113,34673,111.13.101.191,443,6,0.889,369,329,9,0.0047,0.936,7.6066
300,https,192.168.137.113,53801,111.6.172.48,443,6,0.016,1367,1327,580,1.0672,0.999,7.9995
301,https,192.168.137.113,52006,180.76.22.32,443,6,0.714,695,655,7,0.0189,0.7625,7.3308
302,https,192.168.137.113,48752,111.6.172.48,443,6,0.330,1115,1075,97,0.048,0.9874,7.9931
303,https,192.168.137.113,50842,112.34.111.114,443,6,0.870,756,716,69,2.2013,0.9371,7.9773
304,https,192.168.137.113,53646,111.6.172.48,443,6,0.012,1373,1333,4949,0.7716,1.0,7.9998
305,https,192.168.137.113,36737,222.35.78.48,443,6,0.565,838,798,23,0.1171,0.9311,7.9376
306,https,192.168.137.113,56764,180.76.22.48,443,6,0.221,1170,1130,140,0.0307,0.9991,7.9981
307,https,192.168.137.113,60930,111.13.101.178,443,6,0.733,670,630,30,0.0699,0.9442,7.9263
308,https,192.168.137.113,54553,119.75.222.188,443,6,1.000,215,175,9,0.3663,0.8514,6.9364
309,https,192.168.137.113,37160,112.34.111.114,443,6,0.800,478,438,15,0.0029,0.8342,7.5981
310,https,192.168.137.113,53581,119.75.222.189,443,6,0.733,558,518,15,1.9684,0.9655,7.8675
311,https,192.168.137.113,34475,111.13.100.75,443,6,0.857,490,450,14,0.017,0.8132,7.642
312,https,192.168.137.113,35033,119.75.222.189,443,6,0.867,428,388,15,1.9745,0.9523,7.7973
313,https,192.168.137.113,34637,111.13.101.191,443,6,1.000,164,124,6,0.0751,0.6836,5.5349
314,https,192.168.137.113,36705,180.76.22.48,443,6,0.792,529,489,24,0.0178,0.9063,7.8559
315,https,192.168.137.113,36495,183.232.231.63,443,6,0.909,284,244,22,1.0371,0.7485,7.4043
316,https,192.168.137.113,50983,112.34.111.114,443,6,0.900,398,358,10,0.5875,0.9496,7.6917
317,https,192.168.137.113,36253,119.75.222.189,443,6,0.846,350,310,13,0.3286,0.9341,7.6699
318,https,192.168.137.113,53792,111.6.172.48,443,6,0.022,1362,1322,496,0.7186,0.9987,7.9995
319,https,192.168.137.113,35625,222.35.78.49,443,6,0.778,561,521,9,0.0041,0.7661,7.3376
320,https,192.168.137.113,59687,111.6.172.48,443,6,0.750,659,619,8,0.0112,0.755,7.3196
321,https,192.168.137.113,44741,111.6.172.48,443,6,0.750,659,619,8,0.0117,0.7558,7.33
322,https,192.168.137.113,50491,111.13.101.73,443,6,1.000,208,168,9,0.0447,0.8499,6.9054
323,https,192.168.137.113,35081,119.75.222.188,443,6,0.812,522,482,32,1.1586,0.9659,7.924
324,https,192.168.137.113,48988,222.35.78.40,443,6,0.018,1365,1325,494,0.7384,0.9987,7.9995
325,https,192.168.137.113,53166,111.13.101.221,443,6,1.000,300,260,10,0.0012,0.9908,7.8142
326,https,192.168.137.113,45246,119.75.222.189,443,6,0.864,744,704,22,0.4739,0.4399,7.875
327,https,192.168.137.113,48982,222.35.78.40,443,6,0.012,1373,1333,1044,1.3365,0.9995,7.9997
328,https,192.168.137.113,40317,183.232.231.85,443,6,0.935,274,234,31,0.2559,0.835,7.6091
329,https,192.168.137.113,41442,111.13.101.73,443,6,1.000,333,293,19,0.7354,0.3141,7.4724
330,https,192.168.137.113,47047,222.35.78.48,443,6,0.800,570,530,10,0.0066,0.7938,7.4703
331,https,192.168.137.113,56998,112.34.112.78,443,6,0.690,698,658,29,0.0332,0.9449,7.927
332,https,192.168.137.113,43475,111.30.144.106,443,6,0.842,624,584,19,0.1696,0.9054,7.8462
333,https,192.168.137.113,50841,112.34.111.114,443,6,0.900,367,327,10,0.2215,0.9419,7.6478
334,https,192.168.137.113,50194,119.75.222.189,443,6,0.840,549,509,25,0.2696,0.9726,7.916
335,https,192.168.137.113,51098,119.75.222.189,443,6,0.950,773,733,20,0.129,0.2621,7.8476
