id,protocol_name,src,sport,dst,dport,proto,push_flag_ratio,average_len,average_payload_len,pkt_count,flow_average_inter_arrival_time,kolmogorov,shannon
101,https,192.168.137.113,48694,222.35.78.48,443,6,0.150,1235,1195,213,0.068,0.996,7.9986
102,https,192.168.137.113,56372,222.35.78.49,443,6,0.294,1094,1054,51,0.47,0.9785,7.9864
103,https,192.168.137.113,40578,111.13.105.155,443,6,0.867,417,377,15,0.0338,0.8036,7.4948
104,https,192.168.137.113,38108,223.99.245.179,443,6,0.778,606,566,9,0.0018,0.8435,7.6106
105,https,192.168.137.113,41901,120.221.8.142,443,6,0.778,644,604,9,0.0031,0.8351,7.578
106,https,192.168.137.113,34700,111.13.101.191,443,6,0.889,385,345,9,0.0249,0.9372,7.5972
107,https,192.168.137.113,44490,111.13.101.221,443,6,0.900,312,272,10,0.0033,0.9938,7.8349
108,https,192.168.137.113,55877,112.54.108.104,443,6,0.500,852,812,18,0.0818,0.9517,7.9398
109,https,192.168.137.113,53802,111.6.172.48,443,6,0.011,1373,1333,1029,1.4763,0.9995,7.9997
110,https,192.168.137.113,40403,218.206.90.28,443,6,1.000,530,478,5,0.0008,0.954,7.6608
111,https,192.168.137.113,34666,111.13.101.191,443,6,0.623,816,776,61,0.1649,0.9766,7.9796
112,https,192.168.137.113,36294,111.13.101.73,443,6,0.778,494,454,18,0.0054,0.8682,7.7325
113,https,192.168.137.113,59579,119.75.222.188,443,6,0.767,610,570,43,1.0874,0.9792,7.9576
114,https,192.168.137.113,47881,221.179.183.213,443,6,1.000,225,173,6,0.0007,0.8357,7.3926
115,https,192.168.137.113,34636,111.13.101.191,443,6,0.711,742,702,38,0.3728,0.9895,7.9695
116,https,192.168.137.113,34163,218.206.90.28,443,6,1.000,526,474,5,0.0006,0.9524,7.6574
117,https,192.168.137.113,56190,180.76.22.48,443,6,1.000,200,160,6,0.009,0.8208,6.6066
118,https,192.168.137.113,40337,112.34.111.114,443,6,0.889,351,311,9,0.0014,0.9287,7.5734
119,https,192.168.137.113,33708,111.13.101.221,443,6,1.000,300,260,10,0.0013,0.9916,7.797
120,https,192.168.137.113,57063,112.34.112.78,443,6,1.000,164,124,6,0.0306,0.6863,5.4934
121,https,192.168.137.113,39838,111.13.101.221,443,6,1.000,300,260,10,0.0014,0.9908,7.8185
122,https,192.168.137.113,45494,180.76.76.112,443,6,0.867,487,447,15,0.0409,0.8655,7.6945
123,https,192.168.137.113,60775,223.99.245.161,443,6,0.600,863,823,15,0.0084,0.9377,7.9112
124,https,192.168.137.113,34599,111.13.101.191,443,6,0.889,332,292,9,0.0043,0.927,7.5201
125,https,192.168.137.113,40638,222.35.78.48,443,6,0.714,694,654,7,0.0019,0.7625,7.3351
126,https,192.168.137.113,49016,222.35.78.40,443,6,0.014,1370,1330,771,0.1307,0.9992,7.9996
127,https,192.168.137.113,53800,222.35.78.49,443,6,0.750,615,575,8,0.019,0.7658,7.3402
128,https,192.168.137.113,44299,221.179.183.213,443,6,1.000,229,177,5,0.0014,0.973,7.3865
129,https,192.168.137.113,33595,111.6.172.48,443,6,0.750,659,619,8,0.0121,0.7552,7.3093
130,https,192.168.137.113,43033,119.75.222.189,443,6,0.864,882,842,22,0.6554,0.4048,7.8833
131,https,192.168.137.113,51353,180.76.76.112,443,6,0.857,516,476,14,0.1064,0.8653,7.7001
132,https,192.168.137.113,43595,120.221.8.142,443,6,0.778,723,683,9,0.0032,0.8551,7.654
133,https,192.168.137.113,37189,119.75.222.188,443,6,0.442,1075,1035,104,3.745,0.997,7.9933
134,https,192.168.137.113,55001,120.221.12.30,443,6,0.240,1233,1193,104,0.024,0.9941,7.9974
135,https,192.168.137.113,39160,111.13.100.146,443,6,0.889,382,342,9,0.0021,0.9407,7.6251
136,https,192.168.137.113,57059,112.34.112.78,443,6,0.833,462,422,12,0.078,0.9602,7.79
137,https,192.168.137.113,34634,111.13.101.191,443,6,0.833,494,454,12,0.0621,0.9615,7.8129
138,https,192.168.137.113,38807,218.206.90.28,443,6,1.000,533,481,5,0.0006,0.9551,7.6521
139,https,192.168.137.113,33994,222.35.78.32,443,6,0.750,604,564,36,0.015,0.9267,7.9338
140,https,192.168.137.113,34677,111.13.101.191,443,6,0.762,597,557,21,0.0067,0.9789,7.9216
141,https,192.168.137.113,59391,111.13.105.171,443,6,1.000,242,202,9,0.025,0.8775,7.1567
142,https,192.168.137.113,57060,112.34.112.78,443,6,1.000,164,124,6,0.0324,0.685,5.5036
143,https,192.168.137.113,52939,223.99.245.172,443,6,0.812,609,569,16,0.007,0.9088,7.8427
144,https,192.168.137.113,37284,221.179.183.218,443,6,1.000,205,153,6,0.0027,0.975,7.421
145,https,192.168.137.113,50920,112.34.111.114,443,6,0.855,737,697,69,1.114,0.9776,7.9771
146,https,192.168.137.113,56259,223.99.245.179,443,6,0.800,562,522,10,0.0024,0.8224,7.6034
147,https,192.168.137.113,54340,223.99.245.172,443,6,0.889,354,314,18,0.0377,0.7954,7.5442
148,https,192.168.137.113,34509,183.232.231.65,443,6,1.000,325,285,8,0.0214,0.9169,7.4276
149,https,192.168.137.113,56949,112.34.112.78,443,6,0.714,583,543,14,0.0118,0.9729,7.8775
150,https,192.168.137.113,60743,61.135.169.121,443,6,0.818,509,469,11,0.0059,0.9725,7.8482
151,https,192.168.137.113,44665,222.35.78.31,443,6,1.000,71,31,1,0.0,1.0,3.9865
152,https,192.168.137.113,45128,223.99.245.161,443,6,0.800,590,550,10,0.0955,0.8555,7.668
153,https,192.168.137.113,34925,222.35.78.49,443,6,0.824,456,416,17,0.0169,0.8428,7.6492
154,https,192.168.137.113,40085,218.206.90.172,443,6,0.438,942,902,16,0.0043,0.7727,7.9215
155,https,192.168.137.113,57234,119.75.222.189,443,6,1.000,661,621,19,0.5471,0.2692,7.7786
156,https,192.168.137.113,57075,112.34.112.78,443,6,0.714,611,571,14,0.0058,0.974,7.887
157,https,192.168.137.113,60742,61.135.169.121,443,6,0.786,575,535,14,0.008,0.9785,7.8998
158,https,192.168.137.113,50915,112.34.111.114,443,6,1.000,164,124,6,0.0407,0.6984,5.571
159,https,192.168.137.113,53071,120.221.8.142,443,6,1.000,71,31,6,0.496,0.2097,4.1155
160,https,192.168.137.113,46328,111.6.225.35,443,6,0.714,599,559,7,0.0211,0.8159,7.496
161,https,192.168.137.113,44155,222.35.78.49,443,6,1.000,230,190,5,0.0016,0.8237,6.5182
162,https,192.168.137.113,52418,222.35.78.49,443,6,0.312,1055,1015,128,0.4549,0.9912,7.996
163,https,192.168.137.113,44376,119.75.222.189,443,6,0.875,753,713,24,2.7927,0.5208,7.8969
164,https,192.168.137.113,54735,61.135.169.125,443,6,0.812,489,449,16,0.0392,0.9701,7.8824
165,https,192.168.137.113,33512,218.206.90.28,443,6,1.000,537,485,5,0.0006,0.9563,7.6608
166,https,192.168.137.113,44089,112.34.111.173,443,6,0.867,383,343,15,0.0336,0.7817,7.4088
167,https,192.168.137.113,44703,119.75.222.188,443,6,0.765,578,538,17,0.2821,0.8836,7.7684
168,https,192.168.137.113,57210,180.76.76.112,443,6,0.867,462,422,15,0.451,0.8824,7.7622
169,https,192.168.137.113,48464,119.75.222.188,443,6,0.595,783,743,37,0.1543,0.9903,7.9718
170,https,192.168.137.113,54117,222.35.78.49,443,6,0.518,957,917,110,0.069,0.9886,7.9945
171,https,192.168.137.113,47983,222.35.78.32,443,6,0.111,1266,1226,99,0.0479,0.9919,7.9972
172,https,192.168.137.113,54716,61.135.169.125,443,6,0.741,650,610,27,0.2158,0.9869,7.9566
173,https,192.168.137.113,49890,183.232.231.63,443,6,0.857,407,367,14,0.0381,0.783,7.4141
174,https,192.168.137.113,33257,180.76.76.112,443,6,0.778,549,509,9,0.028,0.8435,7.603
175,https,192.168.137.113,38951,111.13.101.221,443,6,0.867,476,436,15,0.0019,0.8346,7.6053
176,https,192.168.137.113,44643,119.75.222.91,443,6,0.917,261,221,12,0.0015,0.9222,7.4849
177,https,192.168.137.113,38775,111.13.105.171,443,6,1.000,263,223,8,0.0035,0.8781,7.1629
178,https,192.168.137.113,34704,111.13.101.191,443,6,0.857,647,607,28,0.1138,0.9832,7.9416
179,https,192.168.137.113,36199,222.35.78.32,443,6,0.111,1265,1225,99,0.032,0.9919,7.9965
180,https,192.168.137.113,50916,112.34.111.114,443,6,1.000,164,124,6,0.0407,0.6997,5.6295
181,https,192.168.137.113,57211,223.99.245.181,443,6,0.895,614,574,19,0.0329,0.8235,7.8677
182,https,192.168.137.113,51575,218.206.90.28,443,6,1.000,531,479,5,0.0024,0.9533,7.6378
183,https,192.168.137.113,45401,223.99.245.179,443,6,0.778,606,566,9,0.002,0.8419,7.6024
184,https,192.168.137.113,52833,119.75.222.189,443,6,0.875,362,322,8,0.0013,0.9154,7.47
185,https,192.168.137.113,41566,221.179.183.213,443,6,1.000,229,177,5,0.0032,0.9718,7.3708
186,https,192.168.137.113,33347,111.13.101.221,443,6,1.000,300,260,10,0.0013,0.9916,7.8116
187,https,192.168.137.113,60525,223.99.245.161,443,6,0.692,764,724,13,0.0036,0.9174,7.8521
188,https,192.168.137.113,40639,180.76.76.112,443,6,0.818,533,493,11,0.0592,0.8381,7.5963
189,https,192.168.137.113,52136,180.76.22.32,443,6,0.019,1365,1325,1699,0.2506,0.9997,7.9998
190,https,192.168.137.113,42829,223.99.245.161,443,6,0.778,658,618,9,0.005,0.8582,7.6735
