id,protocol_name,src,sport,dst,dport,proto,push_flag_ratio,average_len,average_payload_len,pkt_count,flow_average_inter_arrival_time,kolmogorov,shannon,label
518,https,192.168.137.113,51713,111.13.101.221,443,6,1.0,326,286,9,0.0281,0.9919,7.8024,0
583,https,192.168.137.113,35081,119.75.222.188,443,6,0.812,522,482,32,1.1586,0.9659,7.923999999999999,1
191,https,192.168.137.113,37435,222.35.78.49,443,6,1.0,200,160,6,0.0025,0.8229,6.6136,0
481,https,192.168.137.113,50113,120.221.12.30,443,6,0.313,1245,1205,163,0.0397,0.9965,7.9981,1
34,https,192.168.137.113,53693,111.6.172.48,443,6,0.7140000000000001,695,655,7,0.0029,0.7623,7.3233,2
612,https,192.168.137.113,59569,111.13.101.221,443,6,1.0,300,260,10,0.0013,0.9904,7.7975,1
451,https,192.168.137.113,32779,120.221.12.30,443,6,0.389,999,959,18,0.004,0.9578,7.9531,1
101,https,192.168.137.113,38838,223.99.245.181,443,6,0.778,634,594,9,0.0042,0.8517,7.645,1
486,https,192.168.137.113,43475,111.30.144.106,443,6,0.8420000000000001,624,584,19,0.1696,0.9054,7.8462,0
406,https,192.168.137.113,49325,222.35.78.49,443,6,0.778,564,524,9,0.0114,0.7662,7.3345,0
437,https,192.168.137.113,44254,111.13.57.46,443,6,0.857,394,354,14,0.0023,0.823,7.5431,1
646,https,192.168.137.113,44769,119.75.222.188,443,6,0.613,873,833,62,0.013,0.979,7.9816,1
161,https,192.168.137.113,52068,180.76.22.32,443,6,0.021,1359,1319,1699,0.2523,0.9998,7.9998,2
286,https,192.168.137.113,34594,111.13.101.191,443,6,1.0,164,124,6,0.023,0.6809999999999999,5.528,2
356,https,192.168.137.113,38953,111.13.101.221,443,6,0.867,494,454,15,0.0039,0.843,7.6506,1
315,https,192.168.137.113,58752,223.99.245.161,443,6,0.412,986,946,17,0.0151,0.9483,7.9315,1
531,https,192.168.137.113,48077,121.42.179.14,443,6,0.75,724,672,8,0.0024,0.8783,7.7527,1
416,https,192.168.137.113,33637,223.252.199.67,443,6,0.818,506,454,11,0.4309,0.857,7.6589,1
552,https,192.168.137.113,55207,221.179.183.218,443,6,1.0,229,177,5,0.0006,0.9752,7.392,1
249,https,192.168.137.113,60941,112.54.108.104,443,6,0.609,682,642,23,0.3991,0.9458,7.944,2
155,https,192.168.137.113,49016,222.35.78.40,443,6,0.014,1370,1330,771,0.1307,0.9992,7.9996,1
518,https,192.168.137.113,60430,218.206.90.28,443,6,1.0,528,476,5,0.0013,0.953,7.6412,1
